transaction_id,account_number,customer_id,trade_date,settlement_date,symbol,security_name,transaction_type,quantity,price_per_share,total_amount,currency,commission,tax,account_type,broker_id,market,timestamp,client_notes,risk_rating
TXN000001,ACC-770487,CUST_115,13-01-2024,01/14/2024,JPM,JPMorgan Chase & Co,BUY,17,163.620,"-2,781.53",USD,6.49,0.00,Retirement,BRK002,NYSE,2024-01-13T09:35:12Z,Year-end selling,Med
TXN000002,ACC-717889,CUST_285,04/01/2024,01-05-2024,JNJ,Johnson & Johnson,SELL,173,$169.14,"$29,261.96",USD,10.11,303.88,Corporate,BRK005,NYSE,2024-01-04T09:46:29Z,Dividend reinvestment,
TXN000003,ACC-969693,CUST_644,12-Nov-2024,11-13-2024,GLD,SPDR Gold Shares,BUY,41,$210.9227,-8647.83,USD,47.77,0.00,Individual,BRK004,NYSE ARCA,2024-11-12T16:40:53Z,Tax loss harvesting,
TXN000004,ACC-835911,CUST_960,12/15/2024,,SLV,iShares Silver Trust,DIVIDEND,796,$1.30,"$1,034.46",USD,28.11,0.00,Corporate,BRK005,NYSE ARCA,2024-12-15T14:53:49Z,Profit taking,Very High
TXN000005,ACC-169403,CUST_217,17-Oct-2024,,NVDA,NVIDIA Corporation,DIVIDEND,955,4.581283,"$4,375.13",USD,27.94,0.00,Corporate,BRK002,NASDAQ,2024-10-17T13:47:37Z,Market timing,Very High
TXN000006,ACC-245051,CUST_522,09/09/2024,10/09/2024,KO,The Coca-Cola Company,BUY,217,$62.92,"$-13,653.81",USD,34.82,0.00,Trust,BRK004,NYSE,2024-09-09T13:35:55Z,Quarterly rebalancing,HIGH
TXN000007,ACC-456699,CUST_115,2024.05.30,,META,Meta Platforms Inc,SELL,369,308.314,$113767.80,USD,18.17,873.71,Individual,BRK003,NASDAQ,2024-05-30T12:09:23Z,Risk management,Med
TXN000008,ACC-728038,CUST_332,2024-09-07,09-09-2024,TSLA,Tesla Inc,SELL,450,186.95,"$84,127.96",USD,33.37,0.00,Trust,BRK001,NASDAQ,2024-09-07T11:08:42Z,Risk management,Med
TXN000009,ACC-736059,CUST_434,04-18-2024,21-Apr-2024,JNJ,Johnson & Johnson,SELL,265,$158.76,42071.93,USD,27.57,250.77,Individual,BRK005,NYSE,2024-04-18T12:37:14Z,,Med
TXN000010,ACC-170674,CUST_928,17-Jan-2024,,MSFT,Microsoft Corporation,DIVIDEND,735,$2.48,$1821.72,USD,31.96,0.00,Joint,BRK005,NASDAQ,2024-01-17T12:50:30Z,Profit taking,HIGH
TXN000011,ACC-471507,CUST_434,29 July 2024,,NFLX,Netflix Inc,DIVIDEND,719,4.92241,3539.21,USD,9.92,0.00,Trust,BRK003,NASDAQ,2024-07-29T12:12:12Z,Rebalancing,Medium
TXN000012,ACC-361941,CUST_896,08 February 2024,,PEP,PepsiCo Inc,DIVIDEND,717,4.996484,$3582.48,USD,46.80,0.00,Individual,BRK002,NASDAQ,2024-02-08T15:31:30Z,,High
TXN000013,ACC-102260,CUST_400,15 May 2024,18 May 2024,WFC,Wells Fargo & Co,SELL,152,38.096,5790.58,USD,15.89,,Joint,BRK001,NYSE,2024-05-15T09:03:37Z,,MEDIUM
TXN000014,ACC-632496,CUST_83,04/05/2024,2024.04.06,SLV,iShares Silver Trust,BUY,456,$21.1989,"$-9,666.68",USD,33.48,0.00,Joint,BRK005,NYSE ARCA,2024-04-05T10:26:42Z,Risk management,Low
TXN000015,ACC-850981,CUST_322,02-05-2024,04 May 2024,VTI,Vanguard Total Stock Market ETF,BUY,385,$215.8089,$-83086.41,USD,51.79,0.00,Individual,BRK004,NYSE ARCA,2024-05-02T10:34:13Z,Rebalancing,Medium
TXN000016,ACC-487477,CUST_292,21 March 2024,,DIS,The Walt Disney Company,DIVIDEND,676,4.92,"$3,326.52",USD,45.35,0.00,Joint,BRK001,NYSE,2024-03-21T13:59:42Z,,Med
TXN000017,ACC-212235,CUST_761,10/10/2024,13-Oct-2024,BAC,Bank of America Corp,SELL,325,$29.0719,9448.38,USD,47.65,82.83,Individual,BRK001,NYSE,2024-10-10T13:02:00Z,Rebalancing,low
TXN000018,ACC-877236,CUST_453,2024.10.09,12/10/2024,BOND_10Y,US Treasury 10 Year,BUY,428,$100.46,"$-42,995.13",USD,23.46,0.00,Joint,BRK002,BOND,2024-10-09T11:02:19Z,Estate planning,low
TXN000019,ACC-361650,CUST_683,22-Feb-2024,,KO,The Coca-Cola Company,DIVIDEND,466,4.871801,2270.26,USD,42.47,0.00,Retirement,BRK002,NYSE,2024-02-22T15:01:11Z,Tax loss harvesting,High
TXN000020,ACC-925622,CUST_719,2024.02.25,02-26-2024,NFLX,Netflix Inc,BUY,236,$472.49,"$-111,507.17",USD,22.48,0.00,Retirement,BRK002,NASDAQ,2024-02-25T12:25:21Z,,Low
TXN000021,ACC-634150,CUST_410,13-Dec-2024,15/12/2024,AAPL,Apple Inc,BUY,136,179.029487,-24348.01,USD,6.91,0.00,Joint,BRK004,NASDAQ,2024-12-13T14:27:38Z,Short-term trade,MEDIUM
TXN000022,ACC-843215,CUST_447,01-01-2024,,QQQ,Invesco QQQ Trust,SELL,170,416.42,70792.04,USD,36.16,486.30,Corporate,BRK005,NASDAQ,2024-01-01T15:20:25Z,Risk management,
TXN000023,ACC-540869,CUST_681,13/07/2024,,SLV,iShares Silver Trust,DIVIDEND,611,4.185253,2557.19,USD,20.19,0.00,Retirement,BRK004,NYSE ARCA,2024-07-13T16:28:28Z,Risk management,MEDIUM
TXN000024,ACC-397571,CUST_528,05-Dec-2024,12-06-2024,MSFT,Microsoft Corporation,BUY,24,317.682475,"-7,624.38",USD,17.24,0.00,Trust,BRK005,NASDAQ,2024-12-05T16:26:56Z,Profit taking,Medium
TXN000025,ACC-254739,CUST_672,2024-12-18,19/12/2024,CRM,Salesforce Inc,BUY,357,264.329,"$-94,365.38",USD,30.90,0.00,Individual,BRK005,NYSE,2024-12-18T10:29:08Z,Quarterly rebalancing,Very High
TXN000026,ACC-564071,CUST_628,2024.09.15,,DIS,The Walt Disney Company,DIVIDEND,212,$3.74,$793.71,USD,28.73,0.00,Corporate,BRK002,NYSE,2024-09-15T16:40:15Z,,
TXN000027,ACC-452161,CUST_328,10/03/2024,06/10/2024,AMZN,Amazon.com Inc,BUY,33,168.257,$-5552.47,USD,25.74,0.00,Corporate,BRK005,NASDAQ,2024-10-03T15:03:13Z,Dividend reinvestment,HIGH
TXN000028,ACC-902784,CUST_590,13 July 2024,2024.07.15,AAPL,Apple Inc,SELL,377,176.911028,66695.46,USD,32.31,554.11,Retirement,BRK003,NASDAQ,2024-07-13T16:01:24Z,Quarterly rebalancing,low
TXN000029,ACC-981334,CUST_479,2024-03-06,2024-03-09,ORCL,Oracle Corporation,SELL,220,$102.5184,"22,554.05",USD,11.78,129.78,Trust,BRK003,NYSE,2024-03-06T16:20:21Z,Dividend reinvestment,Very High
TXN000030,ACC-364525,CUST_855,11 February 2024,,AAPL,Apple Inc,DIVIDEND,408,1.20,489.06,USD,8.43,0.00,Individual,BRK001,NASDAQ,2024-02-11T12:53:01Z,Profit taking,Very High
TXN000031,ACC-691364,CUST_971,21 April 2024,04/22/2024,JNJ,Johnson & Johnson,SELL,84,165.56,$13906.69,USD,53.24,74.89,Corporate,BRK005,NYSE,2024-04-21T15:45:12Z,,low
TXN000032,ACC-831059,CUST_792,06/03/2024,,PEP,PepsiCo Inc,DIVIDEND,405,2.710452,"$1,097.73",USD,38.08,0.00,Individual,BRK005,NASDAQ,2024-06-03T09:54:26Z,Short-term trade,MEDIUM
TXN000033,ACC-968962,CUST_471,28/12/2024,31-12-2024,BTC-USD,Bitcoin USD,BUY,9.196257,$56556.9324,"-520,112.08",USD,43.73,0.00,Trust,BRK004,CRYPTO,2024-12-28T14:54:15Z,Short-term trade,
TXN000034,ACC-587282,CUST_584,2024.11.08,10/11/2024,SPY,SPDR S&P 500 ETF,BUY,182,448.754993,"-81,673.41",USD,44.89,0.00,Corporate,BRK003,NYSE ARCA,2024-11-08T09:33:12Z,,
